DayOfYear,F10.7
1,69.5
2,72.7
3,70.2
4,69.1
5,68.8
6,69.6
7,69.1
8,69.0
9,69.2
10,67.8
11,65.9
12,67.3
13,66.6
14,67.8
15,67.3
16,67.5
17,66.4
18,66.6
19,67.4
20,67.0
21,67.7
22,68.5
23,69.3
24,70.2
25,72.7
26,74.3
27,72.8
28,73.5
29,70.9
30,71.4
31,70.0
32,70.0
33,68.8
34,69.1
35,68.7
36,68.7
37,67.9
38,68.3
39,68.1
40,68.4
41,68.1
42,68.0
43,68.4
44,68.6
45,69.7
46,69.2
47,69.0
48,68.4
49,68.3
50,68.6
51,69.4
52,69.2
53,69.7
54,69.2
55,69.0
56,68.9
57,69.2
58,69.4
59,68.8
60,68.7
61,68.2
62,68.3
63,69.7
64,70.8
65,71.3
66,69.9
67,70.7
68,69.7
69,70.1
70,69.5
71,69.8
72,70.0
73,69.3
74,68.9
75,68.8
76,68.6
77,69.3
78,69.1
79,76.2
80,79.4
81,81.8
82,78.9
83,75.0
84,70.8
85,68.7
86,68.6
87,68.1
88,68.6
89,69.2
90,69.4
91,69.2
92,70.8
93,70.6
94,70.3
95,71.8
96,73.7
97,76.6
98,78.8
99,79.3
100,78.4
101,78.9
102,77.7
103,78.3
104,75.9
105,75.9
106,74.7
107,76.7
108,75.2
109,73.3
110,70.6
111,69.9
112,70.2
113,69.6
114,70.1
115,68.4
116,68.0
117,67.8
118,68.8
119,67.9
120,69.5
121,68.7
122,70.3
123,70.9
124,73.5
125,74.7
126,77.3
127,80.1
128,76.8
129,77.7
130,77.8
131,79.5
132,77.6
133,76.2
134,76.0
135,75.6
136,75.3
137,73.8
138,72.2
139,69.6
140,70.4
141,69.7
142,69.0
143,68.2
144,68.1
145,68.7
146,69.8
147,69.3
148,70.0
149,70.1
150,70.6
151,70.6
152,71.7
153,71.9
154,71.8
155,72.1
156,71.8
157,70.9
158,71.0
159,70.5
160,70.5
161,71.0
162,71.9
163,71.6
164,69.6
165,70.1
166,68.8
167,68.0
168,68.5
169,69.2
170,70.2
171,69.9
172,68.6
173,68.6
174,69.5
175,70.2
176,70.2
177,70.3
178,69.3
179,70.4
180,69.9
181,69.7
182,70.5
183,69.5
184,69.1
185,69.9
186,69.0
187,68.8
188,69.6
189,68.7
190,69.7
191,70.1
192,69.4
193,69.0
194,68.2
195,69.4
196,69.3
197,69.5
198,70.0
199,69.2
200,68.9
201,69.1
202,69.8
203,69.5
204,69.6
205,70.0
206,70.3
207,69.8
208,68.7
209,69.2
210,68.2
211,68.3
212,68.9
213,68.8
214,68.9
215,67.7
216,68.8
217,70.1
218,70.1
219,69.9
220,70.6
221,69.1
222,69.1
223,69.5
224,69.0
225,68.6
226,69.1
227,69.4
228,69.2
229,69.7
230,69.2
231,69.3
232,68.9
233,68.4
234,67.3
235,68.0
236,67.8
237,67.4
238,67.2
239,67.5
240,67.2
241,67.2
242,67.8
243,67.7
244,68.3
245,70.0
246,69.8
247,69.8
248,69.4
249,70.0
250,75.0
251,68.5
252,69.8
253,70.9
254,69.0
255,70.3
256,69.1
257,69.4
258,68.4
259,69.4
260,68.2
261,66.9
262,67.7
263,67.7
264,68.2
265,68.8
266,66.6
267,67.5
268,67.9
269,67.4
270,66.8
271,67.5
272,67.7
273,68.1
274,68.8
275,68.4
276,68.3
277,68.1
278,67.8
279,67.3
280,67.6
281,67.0
282,67.9
283,67.3
284,68.3
285,68.0
286,66.9
287,65.8
288,66.9
289,65.9
290,65.6
291,65.6
292,65.5
293,64.4
294,63.4
295,64.9
296,63.9
297,64.3
298,67.9
299,67.8
300,68.0
301,68.5
302,68.2
303,68.8
304,70.2
305,69.6
306,69.6
307,68.3
308,69.6
309,69.2
310,68.1
311,68.5
312,68.9
313,68.3
314,69.4
315,68.1
316,69.3
317,69.6
318,68.4
319,68.5
320,68.2
321,68.5
322,68.8
323,67.6
324,68.5
325,69.1
326,67.9
327,68.5
328,68.8
329,67.7
330,68.6
331,69.6
332,68.3
333,67.9
334,68.5
335,69.2
336,68.4
337,67.9
338,67.6
339,68.6
340,68.3
341,68.2
342,69.4
343,68.6
344,68.4
345,68.6
346,68.3
347,66.8
348,68.1
349,68.8
350,67.7
351,68.2
352,68.0
353,67.7
354,67.7
355,68.4
356,68.7
357,70.2
358,70.3
359,69.8
360,69.7
361,70.1
362,69.8
363,69.6
364,68.6
365,68.2
