Station,Model,MSE,RMSE,MAE,R2,Bias,N
CP,Linear,4.712173,2.170754,1.788541,0.271655,0.258459,5475
CP,Quadratic,4.064794,2.016133,1.546064,0.371718,-0.023547,5475
CP,ANN,1.418578,1.191041,0.82588,0.780735,-0.012217,5475
CP,IRI-CCIR,1.965195,1.401854,0.992782,0.696246,-0.125093,5475
CP,IRI-URSI,1.980987,1.407476,0.99355,0.693805,0.175604,5475
ElginAB,Linear,1.109391,1.053276,0.813007,0.135534,0.260194,8437
ElginAB,Quadratic,0.834933,0.913747,0.725732,0.349399,-0.009567,8437
ElginAB,ANN,0.284839,0.533703,0.395601,0.778046,-0.01964,8437
ElginAB,IRI-CCIR,0.613464,0.78324,0.622622,0.521973,-0.222065,8437
ElginAB,IRI-URSI,0.708418,0.841676,0.659965,0.447982,-0.246602,8437
Jicamarca,Linear,2.114126,1.454003,1.147164,0.180244,-0.193277,6894
Jicamarca,Quadratic,1.813193,1.346548,1.063604,0.296932,-0.016282,6894
Jicamarca,ANN,1.051823,1.025584,0.794262,0.592154,-0.065443,6894
Jicamarca,IRI-CCIR,2.673499,1.635084,1.21937,-0.036654,-0.478884,6894
Jicamarca,IRI-URSI,2.592636,1.610167,1.250137,-0.005299,-0.253419,6894
MilstonHill,Linear,1.051605,1.025478,0.766676,0.196546,-0.015065,8295
MilstonHill,Quadratic,0.983404,0.991667,0.779621,0.248653,0.001153,8295
MilstonHill,ANN,0.294993,0.543133,0.401882,0.774617,0.024084,8295
MilstonHill,IRI-CCIR,0.498164,0.705808,0.530232,0.619389,-0.332753,8295
MilstonHill,IRI-URSI,0.534469,0.731074,0.546065,0.591651,-0.292014,8295
Ramey,Linear,2.702215,1.643842,1.136946,0.277973,-0.326811,7934
Ramey,Quadratic,2.498964,1.580811,1.124465,0.332281,-0.018752,7934
Ramey,ANN,1.608369,1.268215,0.788713,0.570246,-0.031036,7934
Ramey,IRI-CCIR,2.151262,1.466718,0.950835,0.425186,0.119922,7934
Ramey,IRI-URSI,2.136092,1.461538,0.955103,0.42924,0.101763,7934
